Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641842e6b15da2ea6f75734f,60d8e7b19f37e70bc8350581,AWAITING REVIEW,2023-03-20T11:26:43.270000Z,2023-03-20T11:31:29.411000Z,,2023-03-20T11:31:30.150678Z,287,C2AG44FS,226,"Arabic, English",21,Male,Other,Netherlands,United Kingdom,Netherlands,Arabic,No,Unemployed (and job seeking)
641842e7e2d47cc2eb01bb7b,5953d852a65c420001e1a5b6,AWAITING REVIEW,2023-03-20T11:26:36.054000Z,2023-03-20T11:29:22.678000Z,,2023-03-20T11:29:23.263058Z,167,C2AG44FS,1486,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641842eca2242c6e548915d4,5fa8030f008edf5d07a3ab8b,AWAITING REVIEW,2023-03-20T11:26:41.246000Z,2023-03-20T11:30:00.538000Z,,2023-03-20T11:30:01.162887Z,200,C2AG44FS,1003,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842ef52ae391bbf35d67c,63d13e9bb342d4657d6bffc2,AWAITING REVIEW,2023-03-20T11:26:42.994000Z,2023-03-20T11:29:18.614000Z,,2023-03-20T11:29:19.218839Z,156,C2AG44FS,61,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
641842f0cc427ac88face6f1,5ec2683e7bf5d7035f84ddf8,AWAITING REVIEW,2023-03-20T11:26:43.603000Z,2023-03-20T11:33:20.999000Z,,2023-03-20T11:33:21.603126Z,398,C2AG44FS,605,English,77,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641842f1d8c8fb21a0e2bd39,5cb237be9d908d000120453a,AWAITING REVIEW,2023-03-20T11:26:45.765000Z,2023-03-20T11:29:18.430000Z,,2023-03-20T11:29:19.141742Z,153,C2AG44FS,1851,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641842f25ee37eccbd588beb,5c9bd1c1a586fd00014d5dad,AWAITING REVIEW,2023-03-20T11:26:50.969000Z,2023-03-20T11:30:56.560000Z,,2023-03-20T11:30:57.075543Z,246,C2AG44FS,1109,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641842f294852910eb88380a,64012f5a283810b2f84795e7,AWAITING REVIEW,2023-03-20T11:26:46.094000Z,2023-03-20T11:30:48.290000Z,,2023-03-20T11:30:54.595842Z,243,C2AG44FS,23,English,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
641842f4f90836e6bd83091e,6171bdd8852ebf6990682ff4,AWAITING REVIEW,2023-03-20T11:26:47.359000Z,2023-03-20T11:32:21.659000Z,,2023-03-20T11:32:22.874537Z,335,C2AG44FS,204,"English, French",36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842fa13c6e836ac9fcce9,63e50caa944ce57fb4d4fe58,AWAITING REVIEW,2023-03-20T11:26:54.111000Z,2023-03-20T11:29:20.229000Z,,2023-03-20T11:29:21.631496Z,147,C2AG44FS,10,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842fb4955cca93db5bb93,60797c35fc76239d8c51cf5a,AWAITING REVIEW,2023-03-20T11:27:18.449000Z,2023-03-20T11:34:46.302000Z,,2023-03-20T11:34:49.161049Z,448,C2AG44FS,638,English,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418430113c6e836ac9fccea,5efb03ef4cd406000b96ed93,AWAITING REVIEW,2023-03-20T11:27:20.802000Z,2023-03-20T11:29:57.934000Z,,2023-03-20T11:29:58.501540Z,158,C2AG44FS,914,English,23,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
64184307540af4d7c1830938,5f89fbf842efeb08a2b08009,AWAITING REVIEW,2023-03-20T11:27:07.309000Z,2023-03-20T11:29:39.495000Z,,2023-03-20T11:29:40.167759Z,153,C2AG44FS,229,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6418430b01a6f1e9a2812aed,5f4f8d866a9a9e045791efbb,AWAITING REVIEW,2023-03-20T11:27:10.158000Z,2023-03-20T11:31:23.870000Z,,2023-03-20T11:31:24.758307Z,254,C2AG44FS,32,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6418430d6928511d2dace6dd,62ea837838c76b3e4bdc3fd5,AWAITING REVIEW,2023-03-20T11:27:16.397000Z,2023-03-20T11:29:10.396000Z,,2023-03-20T11:29:11.268070Z,114,C2AG44FS,135,English,21,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418430d98b7f647e74910cc,62fb7ba781f1eaac2b543934,AWAITING REVIEW,2023-03-20T11:27:23.067000Z,2023-03-20T11:40:30.372000Z,,2023-03-20T11:40:30.997595Z,788,C2AG44FS,76,"Czech, English",24,Female,White,Czech Republic,United Kingdom,Czech Republic,Czech,No,Full-Time
64184313a49d7cfca6315902,5c6daaa38012040001ff43f9,AWAITING REVIEW,2023-03-20T11:27:19.711000Z,2023-03-20T11:30:48.888000Z,,2023-03-20T11:30:49.554891Z,210,C2AG44FS,406,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64184313b57c6892524910e9,60fd10e194c70899a780a1f1,AWAITING REVIEW,2023-03-20T11:27:17.595000Z,2023-03-20T11:29:24.165000Z,,2023-03-20T11:29:26.761324Z,127,C2AG44FS,198,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64184314a0a477af705938b1,63054edf101acf5276f20099,AWAITING REVIEW,2023-03-20T11:27:18.987000Z,2023-03-20T11:29:34.538000Z,,2023-03-20T11:29:35.149456Z,136,C2AG44FS,218,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64184317b503bcb8db524933,600462f1b4a08d58c1808452,AWAITING REVIEW,2023-03-20T11:27:26.755000Z,2023-03-20T11:31:33.255000Z,,2023-03-20T11:31:33.843380Z,247,C2AG44FS,261,"English, French",27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6418431a01a6f1e9a2812aee,5f5891ea0bd50e0009aa15d7,AWAITING REVIEW,2023-03-20T11:27:26.092000Z,2023-03-20T11:30:03.391000Z,,2023-03-20T11:30:03.977455Z,158,C2AG44FS,919,"English, German",32,Male,White,Germany,United Kingdom,Germany,German,No,Full-Time
64184325865fd063a0e2bd2e,5f9a81bdf0617319407b124c,AWAITING REVIEW,2023-03-20T11:27:36.036000Z,2023-03-20T11:30:28.859000Z,,2023-03-20T11:30:29.854329Z,173,C2AG44FS,720,"English, French, Spanish",25,Female,White,Spain,United Kingdom,Spain,Spanish,Yes,Full-Time
6418432e5939e89b6be7ba8e,63d7aaec3ca7349b1aa83301,AWAITING REVIEW,2023-03-20T11:27:47.297000Z,2023-03-20T11:33:01.222000Z,,2023-03-20T11:33:02.034963Z,314,C2AG44FS,36,English,40,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64184332dbfa7cf5c3883804,5bb7193e376360000160f74b,AWAITING REVIEW,2023-03-20T11:27:50.578000Z,2023-03-20T11:30:03.372000Z,,2023-03-20T11:30:04.190920Z,133,C2AG44FS,458,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418433859d905aca31e56ad,5a986d1789de8200013ef74e,AWAITING REVIEW,2023-03-20T11:27:58.262000Z,2023-03-20T11:31:16.377000Z,,2023-03-20T11:31:17.402284Z,199,C2AG44FS,833,"English, Dutch",49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64184339b583f742ac65d641,6001944c90dd7f081710f788,AWAITING REVIEW,2023-03-20T11:30:11.275000Z,2023-03-20T11:34:32.228000Z,,2023-03-20T11:34:34.908711Z,261,C2AG44FS,602,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418433cd71202de4f021908,5d4ad488dfd8230018fd0b45,AWAITING REVIEW,2023-03-20T11:27:56.153000Z,2023-03-20T11:32:44.635000Z,,2023-03-20T11:32:45.624508Z,289,C2AG44FS,1206,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418433d509ade1f2c676eee,606368818e6b621922c84680,AWAITING REVIEW,2023-03-20T11:28:02.092000Z,2023-03-20T11:31:46.917000Z,,2023-03-20T11:31:48.137344Z,225,C2AG44FS,334,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418433f1880536f5e861526,5ec03e8e7f33430fc96f8779,AWAITING REVIEW,2023-03-20T11:28:02.499000Z,2023-03-20T11:31:17.192000Z,,2023-03-20T11:31:19.685648Z,195,C2AG44FS,804,English,42,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641843415939e89b6be7ba91,5cbf5e98357907000167819a,AWAITING REVIEW,2023-03-20T11:28:04.569000Z,2023-03-20T11:32:43.261000Z,,2023-03-20T11:32:43.887075Z,279,C2AG44FS,423,English,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64184342b3fab50bb58ca83c,5a9bff3b6475f900019ffc51,AWAITING REVIEW,2023-03-20T11:28:06Z,2023-03-20T11:31:07.496000Z,,2023-03-20T11:31:08.159652Z,182,C2AG44FS,1158,English,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
